cost,total_square,live_square,rooms_num,floor,rep_type,total_floors,metro,m_distance,adr,date_time,builder,desc,house_type,page_num,dist_cent,build_age,district,lat,lon
7 000 000,120 м²,120 м²,3,2 из 5,чистовая,,,,"Республика Северная Осетия — Алания, Владикавказ, Первомайская ул., 30",07 Август 22:22 2020,,"кв.в новостройке, рядом с рег.палатой, ремонт производился из качественных материалов. индивидуальное отопление. квартира теплая, уютная и очень светлая, зал и кухня получились большие, две спальни, гардероб, два сан узла. в одной спальни есть балкон во двор. в кухня и зал с витражными окнами.под нами супермаркет магнит. в доме два подъезда, в каждом подъезде по 8 квартир. две кв на этаже. обмен не предлогать. только продажа. окна с навесами. рядом рынки и супермаркеты. школа 14, от дома 200 ментров через двор пройти. дорогу  пересекать не нужно. в кв. техника и мебель вся новая, остаються покупателю.",кирпичный,1,,,р-н Затеречный,43.02285,44.661739
4 100 000,55 м²,,2,3 из 10,,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Доватора, 20В",07 Август 07:59 2020,,"В продаже 2х комнатная квартира 55м2 в новом кирпичном доме бизнес-класса по пр. Доватора (район супермаркета Стейтон)3й этаж, лифт Otis.Новый евроремонт. Высокие потолки (3м)Продается со всем содержимым.Встраиваемая техника smeg (духовой шкаф, варочная поверхность, посудомоечная машина), котел valiant, теплые полы в ванной и прихожей. Сплит-систем Gree,Двери из массива, дорогой ламинат (Чехия), плитка и мозаика (Испания), душевая (Чехия), сантехника Grohe и Hansgrohe, вся мебель изготавливалась под заказ, встроенный сейф. Спутниковое телевидение, интернет.Закрытый двор, ворота автоматика, видеонаблюдение, кабиц, и многое другое.",кирпичный,1,,,р-н Затеречный,43.02292271495401,44.658318421895
2 150 000,98 м²,87.6 м²,3,6 из 6,черновая,,,,"ул. Шамиля Джикаева, д. 5Б",07 Август 07:57 2020,ООО Специализированный Застройщик «СТК-59» (ранее ООО «СТК-59»),"📌 ПРОДАЖА ОТ СОБСТВЕННИКА. Продаётся квартира 🏠 Мансардного типа🏠 Ш. Джигкаева🏠 «Московский Квартал»🏠 За ГАИ🏠 6/6🏠 Над квартирой имеется тех этаж🏠 90 м2.🏠 87,6 м2. жилая площадь🏠  Площадь под скосами идёт бесплатно, 10 кВ🏠 Подходят ипотеки и сертификаты✅Детский сад✅Достраивается многоуровневый автопаркинг✅с торговым центром✅ Автомойка , шиномонтаж✅Заканчивается строительство школы🏗🏫",кирпичный,1,,,р-н Затеречный,43.02916,44.64433
1 400 000,34 м²,,1,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Ватутина, 17А",4 августа 17:03 2020,,"Продаём однокомнатную квартиру в центре города - районе СОГУ. Тихий двор с детской площадкой, хорошие соседи.Квартира очень уютная с косметическим ремонтом, зайди и живи. Большая прихожия, застекленная лоджия с зала.",кирпичный,1,,,р-н Иристонский,43.022929,44.691087
2 230 000,62 м²,,2,4 из 5,черновая,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Героев Отечества, 8",08 Август 01:13 2020,,"СОБСТВЕННИК !!! СРОЧНО !!! ПРОДАЕТСЯ КВАРТИРА В НОВОСТРОЙКЕ. ДОМ СДАН, ЗАСЕЛЕН !!! ТРЕТИЙ ДОМ ОТ "" ЧИБО "". ОКНА ВЫХОДЯТ НА ОБЕ СТОРОНЫ. ДВОР С ДЕТСКОЙ ПЛОЩАДКОЙ, МЕСТО ДЛЯ МАШИНЫ.  СОЛНЕЧНАЯ СТОРОНА. ТРАНСПОРТНАЯ РАЗВЯЗКА,МАГАЗИНЫ АПТЕКИ В ШАГОВОЙ ДОСТУПНОСТИ.",кирпичный,1,,,р-н Северо-Западный,43.057378,44.632489
6 000 000,200 м²,100 м²,4,5 из 5,чистовая,,,,"Республика Северная Осетия — Алания, Владикавказ, Владикавказская ул., 71к4",07 Август 22:55 2020,,"ЦЕНА СНИЖЕНА ИЗ-ЗА СРОЧНОСТИ! Сoбствeнник. Очень просторная и светлая квартира, двуxуpoвнeвая c евро-ремонтом, с красивым видом на горы с большого балкона. Во всех комнатах нестандартные окна - во всю стену, на обе стороны дома. Вся мебель и техника остаётся. * Своё отопление (котёл АГВ);* Встроенная Мебель остаётся;* 3 изолированные спальни;* Кухня - студия с гостиной;* Французские окна;* Тёплые полы;* Просторный и уютный балкон;* Подвальное помещение с проведенным электричеством;* Мансарда ~100 кв.м, выведены все коммуникации для второго санузла (в т.ч. теплый пол), без ремонта;* Дом без лифта* Развитая инфраструктура района в шаговой доступности - рынок «Викалина», школа «Диалог» со стадионом в 100м. от дома, двор с детской площадкой, транспорт, продуктовые магазины.",кирпичный,1,,,р-н Северо-Западный,43.05542766829701,44.616223356112
850 000,32 м²,,1,1 из 3,,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Мира",08 Август 08:39 2020,,СРОЧНО!!!!  СРОЧНО!!!! ЦЕНТР. СТАРЫЙ ГОРОД. ПРОСПЕКТ . Пластиковые трубы. Колонка. СТАРАЯ КОСМЕТИКА.,кирпичный,1,,,р-н Иристонский,43.030041,44.680397
1 850 000,58 м²,,2,3 из 3,,,,,"Республика Северная Осетия — Алания, Владикавказ, Молодёжная ул.",08 Август 08:28 2020,,СРОЧНО!!!!   СРОЧНО!!!район ФИНАНСОВОГО КОЛЛЕДЖА. ЖИРАФ. Косметический ремонт. В ванной комнате КАПРЕМОНТ. Пластиковые окна и трубы. КОМНАТЫ и САН/УЗЕЛ РАЗДЕЛЬНЫЙ. БАЛКОН из кухни. КЛАДОВКА во дворе. ПОДЪЕЗД чистый. КРЫША новая.Рассмотрим варианты оплат:ИПОТЕКА.МАТ/КАП. СЕРТИФИКАТ. ОБМЕН.,кирпичный,1,,,р-н Промышленный,43.049696,44.673426
1 850 000,48 м²,,2,9 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова, 30к2",4 августа 19:43 2020,,ПРОДАЕТСЯ ДВУШКА. НА ДЕВЯТОМ ЭТАЖЕ ДЕВЯТИЭТАЖНОГО ДОМА.В КВАРТИРЕ СВЕЖИЙ РЕМОНТ.♦️ПЛОЩАДЬ КВАРТИРЫ 48 КВАДРАТОВ.♦️ ЗАМЕНЕНА ВСЯ САНТЕХНИКА.ВНИМАНИЕ ЦЕНА ЭТОЙ КВАРТИРЫ НИЖЕ РЫНОЧНОЙ ПО ПРИЧИНЕ  СРОЧНОСТИ ПРОДАЖИ ВСЯ ИНТЕРЕСУЮЩАЯ ИНФОРМАЦИЯ ПО НОМЕРУ.,кирпичный,1,,,р-н Северо-Западный,43.05131,44.622752
1 250 000,32 м²,,1,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, Московская ул.",08 Август 08:14 2020,,СРОЧНО!!!!  СРОЧНО!!!!Старая косметика. В ванной КАПРЕМОНТ. Пластиковое окно. БАЛКОН.Подъезд ЧИСТЫЙ.Крыша НОВАЯ. Рассмотрим все варианты оплат.,панельный,1,,,р-н Северо-Западный,43.048964860235,44.640839637669
